Country,City 1 Name,City 2 Name,City 1 Initial Urban Area Density,City 2 Initial Urban Area Density,City 1 Population,City 2 Population,City 1 Year of Initial Density Estimate,City 2 Year of Initial Density Estimate,Average Major City Initial Urban Density,Average Major City Initial Urban Density (Weighted),Source of Density,2000-2025 National Real Residential Property Price Growth %,Source of Property Growth,2000-2024 National Population Growth %,Source on Population,Property to Population Growth Multiple Ratio,City 1 Current Urban Density,City 2 Current Urban Density,Average Major City Urban Density,Source of Current Density,City 1 Early 20th Century Persons per Building,City 2 Early 20th Century Persons per Builidng,Year of City 1 Persons Per Building Stat,Year of City 2 Persons Per Building Stat,Average Early 20th Century Persons per Building,Source of Early 20th Century Stats,Flats as % of Residential Stock c. 2000,Year of Residential Stock Measurement,Source of Residential Stock Data,Real Wage Growth %,Source of Wage Growth Data,"Initial Dwellings per 1,000 People",% Change in Dwellings per 1000,Employment Growth %,Source of Employment Data
Australia,Sydney,Melbourne,2113,1609,"3,530,000.00","2,750,000.00",2001,2001,1861,1892.299363,https://demographia.com/db-worldua-pop.pdf,139,Real Residential Property Prices for Australia (QAUR628BIS) | FRED | St. Louis Fed,43,Explore - Data Commons,1.67,2296,1800,2048,Demographia World Urban Areas,5.75,5.21,1911,1911,5.48,https://www.sebastiankohl.com/data,13.1,2016,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,22,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",403,4.218362283,14,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for Australia (LREM64TTAUM156N) | FRED
New Zealand,Auckland,Wellington,1927,2008,"1,023,000","312,000",1998,1998,1967.5,1945.930337,https://demographia.com/db-worldua-pop.pdf,159,Real Residential Property Prices for New Zealand (QNZR628BIS) | FRED | St. Louis Fed,38,Explore - Data Commons,1.88,"3,041",,"3,041",Demographia World Urban Areas,5.47,4.96,1911,1911,5.215,https://www.sebastiankohl.com/data,,,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,47,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",395,0.253164557,11,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for New Zealand (LREM64TTNZQ156S) | FRED
UK,London,Manchester,5100,4023,"8,278,000","2,245,000",2001,2001,4561.5,4870.230448,https://demographia.com/db-worldua-pop.pdf,79,Real Residential Property Prices for United Kingdom (QGBR628BIS) | FRED | St. Louis Fed,17,Explore - Data Commons,1.53,"6,537",4314,"5,426",Demographia World Urban Areas,7.93,4.99,1911,1911,6.46,https://www.sebastiankohl.com/data,14.7,2005,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,21,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",430,2.558139535,4,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for United Kingdom (LREM64TTGBQ156S) | FRED
Ireland,Dublin,Cork,4235,,"1,075,000",,2002,,4235,4235,https://demographia.com/db-worldua-pop.pdf,50,Real Residential Property Prices for Ireland (QIER628BIS) | FRED | St. Louis Fed,41,Explore - Data Commons,1.06,3152,,3152,Demographia World Urban Areas,8.1,5.97,1926,1926,7.035,https://www.sebastiankohl.com/data,3.8,2003,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,32,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",436,-4.357798165,17,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for Ireland (LREM64TTIEQ156N) | FRED
America,Los Angeles,Chicago,2729,1511,"11,789,000","8,308,000",2000,2000,2120,2225.484848,https://demographia.com/db-worldua-pop.pdf,68,Real Residential Property Prices for United States (QUSR628BIS) | FRED | St. Louis Fed,21,Explore - Data Commons,1.39,2252,1346,1799,Demographia World Urban Areas,4.5,8.8,1910,1910,6.65,https://www.sebastiankohl.com/data,24.8,2011,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,28,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",425,0.7058823529,-3,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for United States (LREM64TTUSM156S) | FRED
Canada,Toronto,Montreal,2643,"1,851","4,367,000","3,216,000",2001,2001,2247,2307.107609,https://demographia.com/db-worldua-pop.pdf,155,Real Residential Property Prices for Canada (QCAR628BIS) | FRED | St. Louis Fed,35,Explore - Data Commons,1.89,2730,2913,2821.5,Demographia World Urban Areas,5.3,5.87,1911,1911,5.585,https://www.sebastiankohl.com/data,31.1,2003,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,25,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",424,0.4716981132,7,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for Canada (LREM64TTCAM156N) | FRED
France,Paris,Lyon,3542,1414,"9,645,000","1,349,000",1999,1999,2478,3280.887393,https://demographia.com/db-worldua-pop.pdf,75,Real Residential Property Prices for France (QFRR628BIS) | FRED | St. Louis Fed,12,Explore - Data Commons,1.56,3953,2081,3167,Demographia World Urban Areas,38,13,1937,1937,25.5,https://www.sebastiankohl.com/data,35.8,2004,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,20,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",517,14.31334623,12,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for France (LREM64TTFRQ156N) | FRED
Germany,Berlin,Hamburg,3154,2323,"3,880,000","1,925,000",2001,2001,2738.5,2878.431525,https://demographia.com/db-worldua-pop.pdf,9,Real Residential Property Prices for Germany (QDER628BIS) | FRED | St. Louis Fed,2,Explore - Data Commons,1.07,3137,2779,2958,Demographia World Urban Areas,29.21,28.57,1927,1927,28.89,https://www.sebastiankohl.com/data,47.9,2005,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,17,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",505,2.574257426,19,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for Germany (LREM64TTDEQ156S) | FRED
Sweden,Stockholm,Goteborg,3614,1817,"1,479,000","480,000",2000,1996,2715.5,3173.693721,https://demographia.com/db-worldua-pop.pdf,144,Real Residential Property Prices for Sweden (QSER628BIS) | FRED | St. Louis Fed,20,Explore - Data Commons,2.03,2740,2079,2409.5,Demographia World Urban Areas,40,23,1912,1912,31.5,https://www.sebastiankohl.com/data,41.3,2004,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,35,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",461,6.724511931,8,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for Sweden (LREM64TTSEQ156N) | FRED
Spain,Barcelona,Madrid,5577,5255,"3,900,000","4,900,000",2001,2001,5416,5397.704545,https://demographia.com/db-worldua-pop.pdf,62,Real Residential Property Prices for Spain (QESR628BIS) | FRED | St. Louis Fed,20,Explore - Data Commons,1.35,5119,5104,5111.5,Demographia World Urban Areas,16.66,43.34,1910,1910,30,https://www.sebastiankohl.com/data,63.5,2004,https://webfs.oecd.org/Els-com/Affordable_Housing_Database/HM1-5-Housing-stock-by-dwelling-type.xlsx,5,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.SAE,DSD_EARNINGS@AV_AN_WAGE/all?startPeriod=2000&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",539,4.452690167,20,Infra-Annual Labor Statistics: Employment Rate Total: From 15 to 64 Years for Spain (LREM64TTESQ156S) | FRED
