REF_AREA,START_PERIOD,START_VALUE,END_PERIOD,END_VALUE,GROWTH_PCT,STATUS
AUS,2007Q1,100.0,2025Q1,120.04,20.040000000000006,ok (end=2025Q1)
AUT,2007Q1,100.0,2025Q1,103.43,3.430000000000007,ok (end=2025Q1)
CAN,2007Q1,100.0,2025Q1,123.95,23.950000000000003,ok (end=2025Q1)
DEU,2007Q1,100.0,2025Q1,113.98,13.980000000000004,ok (end=2025Q1)
DNK,2007Q1,100.0,2025Q1,126.59,26.590000000000003,ok (end=2025Q1)
ESP,2007Q1,100.0,2025Q1,104.55,4.549999999999997,ok (end=2025Q1)
FIN,2007Q1,100.0,2025Q1,111.92,11.920000000000002,ok (end=2025Q1)
FRA,2007Q1,100.0,2025Q1,114.82,14.819999999999995,ok (end=2025Q1)
GBR,2007Q1,100.0,2025Q1,111.68,11.680000000000007,ok (end=2025Q1)
IRL,2007Q1,100.0,2024Q4,121.2,21.200000000000003,ok (end=fallback)
ITA,2007Q1,100.0,2025Q1,93.93,-6.069999999999993,ok (end=2025Q1)
JPN,2007Q1,100.0,2024Q1,102.29,2.2900000000000063,ok (end=fallback)
NOR,2007Q1,100.0,2023Q2,118.69,18.689999999999998,ok (end=fallback)
PRT,2007Q1,100.0,2025Q1,116.94,16.939999999999998,ok (end=2025Q1)
SWE,2007Q1,100.0,2025Q1,123.39,23.39,ok (end=2025Q1)
USA,2007Q1,100.0,2025Q1,130.55,30.55000000000001,ok (end=2025Q1)
