STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,SECTOR,Institutional sector,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,PRICE_BASE,Price base,TRANSFORMATION,Transformation,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2007-Q1,,100,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2007-Q2,,101.35,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2007-Q3,,101.54,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2007-Q4,,102.73,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2008-Q1,,103.93,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2008-Q2,,104.12,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2008-Q3,,104.2,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2008-Q4,,109.63,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2009-Q1,,107.18,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.SDD.NAD:DSD_HHDASH@DF_HHDASH_CTRY(1.0),Household indicators dashboard – country view,I,Q,Quarterly,AUS,Australia,B6GS1M_R_POP,Real gross disposable income per capita of households and NPISH,IX,Index,2009-Q2,,109.67,,Y,Calendar and seasonally adjusted,S1M,Households and non-profit institutions serving households (NPISH),B,Balance (revenue minus expenditure),B6G_POP,"Disposable income, gross, per capita",_Z,Not applicable,LR,Chain linked volume (rebased),IX,Index,2020,,2007-Q1,,F,Free (free for publication),2,Two,A,Normal value,0,Units
