country,country_code,year,growth_since_2000_pct,index_2000=100
Latvia,LVA,2024,192.01589169836026,292.01589169836024
Lithuania,LTU,2024,176.87355069977554,276.8735506997755
Estonia,EST,2024,140.35976110076933,240.35976110076933
Türkiye,TUR,2023,120.23153209573198,220.23153209573198
Hungary,HUN,2024,74.43287948938682,174.4328794893868
Czechia,CZE,2024,73.2936274861836,173.2936274861836
Slovak Republic,SVK,2024,66.81597327349056,166.81597327349056
Costa Rica,CRI,2023,63.31070284597777,163.31070284597777
Poland,POL,2024,62.92006060351007,162.92006060351008
Slovenia,SVN,2024,61.910883632452716,161.91088363245274
Chile,CHL,2023,60.02230418619183,160.02230418619183
New Zealand,NZL,2024,47.25209202477472,147.2520920247747
Korea,KOR,2024,45.90714839268417,145.90714839268418
Norway,NOR,2024,44.72714859424085,144.72714859424087
Sweden,SWE,2024,35.22649192313905,135.22649192313904
Iceland,ISL,2024,33.59857808793585,133.59857808793583
Ireland,IRL,2024,31.662009389734358,131.66200938973435
Denmark,DNK,2024,28.734077892696863,128.73407789269686
Luxembourg,LUX,2024,27.77859373701199,127.77859373701199
United States,USA,2024,27.730653514987537,127.73065351498752
Canada,CAN,2024,25.379089057765867,125.37908905776587
Australia,AUS,2024,22.3671705332412,122.3671705332412
United Kingdom,GBR,2024,21.10044841797656,121.10044841797657
Switzerland,CHE,2024,20.83640956409296,120.83640956409296
France,FRA,2024,19.67184710771943,119.67184710771943
OECD,OECD,2024,19.393083817641443,119.39308381764144
Finland,FIN,2024,18.349478804426056,118.34947880442604
Germany,DEU,2024,16.980432663283885,116.98043266328388
Austria,AUT,2024,14.749312542162718,114.7493125421627
Israel,ISR,2024,11.01842872179386,111.01842872179384
Belgium,BEL,2024,9.356512619292733,109.35651261929273
Portugal,PRT,2024,7.319466575493627,107.31946657549362
Spain,ESP,2024,5.123065834532747,105.12306583453277
Netherlands,NLD,2024,4.557444642092623,104.55744464209262
Mexico,MEX,2024,-0.918500926612642,99.08149907338736
Japan,JPN,2024,-1.3235058983688153,98.67649410163118
Italy,ITA,2024,-2.3318646448078573,97.66813535519213
Greece,GRC,2024,-6.2341065516601235,93.76589344833988
