country,country_code,year,wage_usd_ppp_const,index_2000=100
Australia,AUS,2000,57806.507,100.0
Australia,AUS,2001,58378.557,100.98959447592985
Australia,AUS,2002,58909.737,101.90848756870918
Australia,AUS,2003,59748.167,103.35889521918355
Australia,AUS,2004,61629.11,106.6127555501667
Australia,AUS,2005,62347.376,107.85529040874239
Australia,AUS,2006,62769.154,108.58492799089211
Australia,AUS,2007,64500.872,111.58064264287756
Australia,AUS,2008,64995.647,112.43655839644488
Australia,AUS,2009,64406.029,111.41657287820557
Australia,AUS,2010,66705.582,115.39459043944655
Australia,AUS,2011,68914.944,119.21658577294768
Australia,AUS,2012,69392.868,120.04335082899924
Australia,AUS,2013,69189.387,119.691347204217
Australia,AUS,2014,69877.669,120.88201246963425
Australia,AUS,2015,69464.852,120.16787660254235
Australia,AUS,2016,69806.581,120.75903669460604
Australia,AUS,2017,69579.169,120.36563461618603
Australia,AUS,2018,69832.234,120.80341405163955
Australia,AUS,2019,70501.846,121.96178191496678
Australia,AUS,2020,71915.394,124.40709140235718
Australia,AUS,2021,72716.686,125.79325369028093
Australia,AUS,2022,71109.992,123.01381918821008
Australia,AUS,2023,70422.098,121.82382512750684
Australia,AUS,2024,70736.187,122.3671705332412
Austria,AUT,2000,66028.413,100.0
Austria,AUT,2001,65828.646,99.69745297376751
Austria,AUT,2002,66825.091,101.20656845106969
Austria,AUT,2003,66979.313,101.44013759652226
Austria,AUT,2004,68251.938,103.36752755211609
Austria,AUT,2005,68622.299,103.92843910999346
Austria,AUT,2006,69651.63,105.48736041861251
Austria,AUT,2007,70059.18,106.10459469925469
Austria,AUT,2008,71218.017,107.85965278311325
Austria,AUT,2009,72435.383,109.70335300955968
Austria,AUT,2010,72103.745,109.2010874167156
Austria,AUT,2011,71327.643,108.02568130783334
Austria,AUT,2012,71731.843,108.6378420150731
Austria,AUT,2013,71761.772,108.68316947130018
Austria,AUT,2014,72033.928,109.09534960351084
Austria,AUT,2015,72558.786,109.89024679420963
Austria,AUT,2016,73253.777,110.94281033227317
Austria,AUT,2017,73263.137,110.95698604780945
Austria,AUT,2018,73540.157,111.37653270570051
Austria,AUT,2019,74147.783,112.2967819929278
Austria,AUT,2020,74353.046,112.60765270853929
Austria,AUT,2021,75501.799,114.34743857920681
Austria,AUT,2022,73761.494,111.7117474866464
Austria,AUT,2023,73585.512,111.44522283157102
Austria,AUT,2024,75767.15,114.7493125421627
Belgium,BEL,2000,69596.967,100.0
Belgium,BEL,2001,69809.073,100.30476328084815
Belgium,BEL,2002,71611.282,102.89425687185478
Belgium,BEL,2003,72038.155,103.50760687602951
Belgium,BEL,2004,71660.301,102.96468953884154
Belgium,BEL,2005,70980.025,101.98723889792494
Belgium,BEL,2006,71462.223,102.68008230875922
Belgium,BEL,2007,71329.639,102.48957975424416
Belgium,BEL,2008,71637.445,102.93184902727155
Belgium,BEL,2009,72634.832,104.3649387767142
Belgium,BEL,2010,72299.056,103.88248097075838
Belgium,BEL,2011,73038.155,104.94445109942794
Belgium,BEL,2012,73628.817,105.79314038210887
Belgium,BEL,2013,74358.208,106.84116162705767
Belgium,BEL,2014,74774.678,107.43956414077641
Belgium,BEL,2015,74266.295,106.70909696395246
Belgium,BEL,2016,74425.268,106.93751640067877
Belgium,BEL,2017,73904.426,106.18914758167551
Belgium,BEL,2018,74341.899,106.81772813461828
Belgium,BEL,2019,75073.885,107.86947799032677
Belgium,BEL,2020,72792.596,104.59162106877444
Belgium,BEL,2021,75091.965,107.89545613388583
Belgium,BEL,2022,73530.44,105.65178795794363
Belgium,BEL,2023,75661.615,108.71395444574475
Belgium,BEL,2024,76108.816,109.35651261929273
Canada,CAN,2000,55365.75,100.0
Canada,CAN,2001,55137.869,99.58840799591805
Canada,CAN,2002,54693.461,98.78573125081843
Canada,CAN,2003,54710.38,98.81628985428718
Canada,CAN,2004,55892.446,100.95130292644822
Canada,CAN,2005,57506.9,103.8672825709035
Canada,CAN,2006,59258.083,107.03021814027625
Canada,CAN,2007,60840.573,109.8884653418404
Canada,CAN,2008,61908.661,111.81761468055612
Canada,CAN,2009,62311.323,112.54489102017041
Canada,CAN,2010,62422.417,112.74554575707906
Canada,CAN,2011,63173.717,114.10252186595503
Canada,CAN,2012,63921.863,115.45380131218307
Canada,CAN,2013,64599.0,116.67682637731811
Canada,CAN,2014,65442.989,118.20121464985122
Canada,CAN,2015,65924.573,119.07103759996028
Canada,CAN,2016,64675.087,116.81425249364455
Canada,CAN,2017,65726.977,118.71414547802569
Canada,CAN,2018,66959.594,120.94046228941177
Canada,CAN,2019,67227.517,121.42437698396574
Canada,CAN,2020,69662.78,125.82287786221626
Canada,CAN,2021,70001.671,126.43497288486114
Canada,CAN,2022,69304.208,125.17523559240144
Canada,CAN,2023,69299.313,125.1663943864212
Canada,CAN,2024,69417.073,125.37908905776587
Chile,CHL,2000,23827.814,100.0
Chile,CHL,2001,24668.786,103.52937117941244
Chile,CHL,2002,24997.734,104.90989227966946
Chile,CHL,2003,25394.8,106.57628937341882
Chile,CHL,2004,24981.231,104.84063288390618
Chile,CHL,2005,24808.612,104.11618959254929
Chile,CHL,2006,25631.169,107.56827714032015
Chile,CHL,2007,26349.265,110.58196526126989
Chile,CHL,2008,27012.562,113.36567424942969
Chile,CHL,2009,29779.905,124.9795931762771
Chile,CHL,2010,35908.976,150.7019317844264
Chile,CHL,2011,36737.254,154.1780290881908
Chile,CHL,2012,37815.107,158.7015367838611
Chile,CHL,2013,38814.65,162.89639494416065
Chile,CHL,2014,39167.092,164.37551510180498
Chile,CHL,2015,39051.772,163.89154288345543
Chile,CHL,2016,40782.724,171.1559608447506
Chile,CHL,2017,39507.714,165.8050293661013
Chile,CHL,2018,36110.511,151.54772905311415
Chile,CHL,2019,36691.696,153.9868323632206
Chile,CHL,2020,36888.052,154.81089452855392
Chile,CHL,2021,38873.961,163.145309930655
Chile,CHL,2022,37686.292,158.1609290722179
Chile,CHL,2023,38129.817,160.02230418619183
Costa Rica,CRI,2000,25111.405,100.0
Costa Rica,CRI,2001,25952.204,103.34827541509527
Costa Rica,CRI,2002,26243.033,104.50643044465254
Costa Rica,CRI,2003,25424.726,101.24772389278897
Costa Rica,CRI,2004,25433.599,101.28305843500195
Costa Rica,CRI,2005,23170.72,92.27169885555986
Costa Rica,CRI,2006,24045.977,95.7571947885831
Costa Rica,CRI,2007,23593.506,93.95534021294309
Costa Rica,CRI,2008,24545.965,97.74827414077389
Costa Rica,CRI,2009,27943.171,111.27681226916613
Costa Rica,CRI,2010,29179.838,116.20153472097638
Costa Rica,CRI,2011,30579.002,121.77336154627748
Costa Rica,CRI,2012,31245.25,124.42653049480904
Costa Rica,CRI,2013,33788.905,134.5560115015468
Costa Rica,CRI,2014,33972.59,135.28749187869016
Costa Rica,CRI,2015,36256.207,144.38143544735948
Costa Rica,CRI,2016,37745.751,150.31317841434998
Costa Rica,CRI,2017,37607.974,149.76451536662327
Costa Rica,CRI,2018,38382.49,152.84883502137774
Costa Rica,CRI,2019,39452.125,157.10839357654422
Costa Rica,CRI,2020,43228.685,172.14761579449657
Costa Rica,CRI,2021,42225.891,168.15423509755828
Costa Rica,CRI,2022,38739.337,154.26989051389202
Costa Rica,CRI,2023,41009.612,163.31070284597777
Czechia,CZE,2000,22209.995,100.0
Czechia,CZE,2001,23355.572,105.15793452452377
Czechia,CZE,2002,24768.261,111.5185347858025
Czechia,CZE,2003,26656.793,120.02160738892559
Czechia,CZE,2004,27857.034,125.4256653367099
Czechia,CZE,2005,28675.751,129.11192010624046
Czechia,CZE,2006,29825.319,134.28782401797028
Czechia,CZE,2007,30715.292,138.29490731537763
Czechia,CZE,2008,30879.781,139.03551531641497
Czechia,CZE,2009,30756.05,138.4784192882529
Czechia,CZE,2010,31700.884,142.73251299696375
Czechia,CZE,2011,31959.981,143.89909137755322
Czechia,CZE,2012,32018.481,144.16248630402666
Czechia,CZE,2013,31818.34,143.26135597959387
Czechia,CZE,2014,32490.151,146.2861698077825
Czechia,CZE,2015,33445.873,150.58928649015905
Czechia,CZE,2016,34626.923,155.906937394628
Czechia,CZE,2017,36395.807,163.87129758471357
Czechia,CZE,2018,38323.807,172.55207396489735
Czechia,CZE,2019,39915.376,179.71807737912593
Czechia,CZE,2020,39341.541,177.13439827429048
Czechia,CZE,2021,40135.831,180.7106710289669
Czechia,CZE,2022,37617.582,169.37231188030435
Czechia,CZE,2023,36949.005,166.36205906394844
Czechia,CZE,2024,38488.506,173.2936274861836
Denmark,DNK,2000,57499.691,100.0
Denmark,DNK,2001,57852.968,100.61439808433057
Denmark,DNK,2002,59175.544,102.91454261902034
Denmark,DNK,2003,60633.824,105.45069537851953
